Customer ID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
1120,211,2,290.5,2,1,1,211,Hibernating
1122,8,1,5538.33,5,1,4,514,New Customers
1123,42,2,7549.83,4,1,4,414,Promising
1124,18,3,8732.279999999999,5,2,5,525,Champions
1125,30,2,9625.49,5,1,5,515,New Customers
1127,185,2,6924.64,2,1,4,214,Hibernating
1129,289,1,20.75,1,1,1,111,Hibernating
1130,324,1,4747.14,1,1,3,113,Hibernating
1132,144,1,124.5,2,1,1,211,Hibernating
1133,79,2,8150.52,4,1,4,414,Promising
1134,63,4,18089.83,4,2,5,425,Loyal Customers
1136,284,1,844.83,1,1,1,111,Hibernating
1139,2,1,6329.52,5,1,4,514,New Customers
1141,162,3,5124.3099999999995,2,2,3,223,At Risk
1142,333,1,4175.64,1,1,3,113,Hibernating
1143,292,1,3379.32,1,1,3,113,Hibernating
1144,210,1,844.83,2,1,1,211,Hibernating
1145,10,3,5214.23,5,2,3,523,Champions
1147,66,1,8448.3,4,1,5,415,Promising
1148,37,3,7354.17,5,2,4,524,Champions
1149,43,3,3566.07,4,2,3,423,Loyal Customers
1150,191,1,5538.33,2,1,4,214,Hibernating
1151,67,2,1401.15,4,1,1,411,Promising
1152,226,1,124.5,1,1,1,111,Hibernating
1154,14,1,463.96,5,1,1,511,New Customers
1155,124,2,9869.76,3,1,5,315,About to Sleep
1160,19,1,83.0,5,1,1,511,New Customers
1162,52,1,3379.32,4,1,3,413,Promising
1167,293,1,124.5,1,1,1,111,Hibernating
1168,332,1,1391.88,1,1,1,111,Hibernating
1169,123,2,8322.09,3,1,4,314,About to Sleep
1170,175,1,5538.33,2,1,4,214,Hibernating
1171,16,4,9152.570000000002,5,2,5,525,Champions
1174,41,2,1050.37,4,1,1,411,Promising
1175,6,2,4092.5499999999997,5,1,3,513,New Customers
1177,116,1,2783.76,3,1,2,312,About to Sleep
1178,153,1,247.03,2,1,1,211,Hibernating
1180,192,1,7603.47,2,1,4,214,Hibernating
1181,50,1,3955.95,4,1,3,413,Promising
1182,311,2,11867.849999999999,1,1,5,115,Hibernating
1183,5,2,710.99,5,1,1,511,New Customers
1184,45,1,1391.88,4,1,1,411,Promising
1185,230,1,2534.49,1,1,2,112,Hibernating
1186,297,1,247.03,1,1,1,111,Hibernating
1187,234,1,2534.49,1,1,2,112,Hibernating
1188,33,2,4349.81,5,1,3,513,New Customers
1189,311,1,494.06,1,1,1,111,Hibernating
1190,44,3,8981.91,4,2,5,425,Loyal Customers
1192,9,3,6162.81,5,2,4,524,Champions
1193,36,2,2470.3,5,1,2,512,New Customers
1194,316,1,494.06,1,1,1,111,Hibernating
1195,346,1,3247.72,1,1,2,112,Hibernating
1196,136,3,4966.83,3,2,3,323,About to Sleep
1197,2,3,8462.04,5,2,5,525,Champions
1199,74,1,1482.18,4,1,1,411,Promising
1203,146,2,7066.9400000000005,2,1,4,214,Hibernating
1205,52,1,1729.21,4,1,2,412,Promising
1208,60,1,844.83,4,1,1,411,Promising
1210,147,2,9189.39,2,1,5,215,Hibernating
1211,78,3,3130.35,4,2,2,422,Loyal Customers
1212,166,1,6758.64,2,1,4,214,Hibernating
1215,8,2,14724.18,5,1,5,515,New Customers
1216,3,1,2373.57,5,1,2,512,New Customers
1217,183,4,7256.64,2,2,4,224,At Risk
1218,269,1,2534.49,1,1,2,112,Hibernating
1220,46,2,8635.05,4,1,5,415,Promising
1222,41,1,8448.3,4,1,5,415,Promising
1223,199,1,166.0,2,1,1,211,Hibernating
1224,87,2,9494.279999999999,4,1,5,415,Promising
1226,36,2,4639.599999999999,5,1,3,513,New Customers
1227,226,1,1582.38,1,1,2,112,Hibernating
1228,341,1,5538.33,1,1,4,114,Hibernating
1229,256,1,494.06,1,1,1,111,Hibernating
1232,213,1,4747.14,2,1,3,213,Hibernating
1234,0,2,12672.449999999999,5,1,5,515,New Customers
1235,32,1,103.75,5,1,1,511,New Customers
1236,22,2,6516.27,5,1,4,514,New Customers
1237,170,2,1976.24,2,1,2,212,Hibernating
1244,62,5,11804.100000000002,4,2,5,425,Loyal Customers
1245,61,1,5913.81,4,1,4,414,Promising
1246,262,1,494.06,1,1,1,111,Hibernating
1247,121,2,4893.97,3,1,3,313,About to Sleep
1248,169,3,4515.0199999999995,2,2,3,223,At Risk
1250,28,2,5438.13,5,1,4,514,New Customers
1251,102,1,4175.64,3,1,3,313,About to Sleep
1252,161,1,7911.9,2,1,4,214,Hibernating
1253,221,2,12980.88,1,1,5,115,Hibernating
1254,191,1,2223.27,2,1,2,212,Hibernating
1255,44,2,311.25,4,1,1,411,Promising
1256,87,1,3164.76,4,1,2,412,Promising
1257,68,1,124.5,4,1,1,411,Promising
1258,136,1,988.12,3,1,1,311,About to Sleep
1261,236,1,791.19,1,1,1,111,Hibernating
1262,304,1,3955.95,1,1,3,113,Hibernating
1263,337,2,11827.619999999999,1,1,5,115,Hibernating
1264,159,1,186.75,2,1,1,211,Hibernating
1265,2,4,9453.630000000001,5,2,5,525,Champions
1266,111,1,791.19,3,1,1,311,About to Sleep
1267,255,1,1729.21,1,1,2,112,Hibernating
1268,63,3,13195.439999999999,4,2,5,425,Loyal Customers
1269,54,1,186.75,4,1,1,411,Promising
1271,4,2,7005.67,5,1,4,514,New Customers
1272,196,1,2470.3,2,1,2,212,Hibernating
1276,194,2,2964.36,2,1,2,212,Hibernating
1277,102,2,3626.3500000000004,3,1,3,313,About to Sleep
1278,49,4,6876.31,4,2,4,424,Loyal Customers
1280,33,2,6883.14,5,1,4,514,New Customers
1283,141,1,186.75,3,1,1,311,About to Sleep
1286,73,3,8875.44,4,2,5,425,Loyal Customers
1287,42,4,8299.72,4,2,4,424,Loyal Customers
1288,187,1,7911.9,2,1,4,214,Hibernating
1290,259,1,3711.68,1,1,3,113,Hibernating
1292,86,3,7187.34,4,2,4,424,Loyal Customers
1293,329,1,4747.14,1,1,3,113,Hibernating
1294,201,1,3711.68,2,1,3,213,Hibernating
1295,47,1,4747.14,4,1,3,413,Promising
1296,275,2,6903.89,1,1,4,114,Hibernating
1298,325,1,1729.21,1,1,2,112,Hibernating
1299,300,1,7911.9,1,1,4,114,Hibernating
1300,157,1,166.0,2,1,1,211,Hibernating
1301,53,2,2373.57,4,1,2,412,Promising
1302,23,1,145.25,5,1,1,511,New Customers
1303,91,2,2560.32,3,1,2,312,About to Sleep
1304,335,1,741.09,1,1,1,111,Hibernating
1305,102,2,9078.57,3,1,5,315,About to Sleep
1306,239,2,5976.06,1,1,4,114,Hibernating
1307,121,2,2410.1,3,1,2,312,About to Sleep
1308,260,1,1391.88,1,1,1,111,Hibernating
1309,30,2,7852.74,5,1,4,514,New Customers
1310,31,2,11296.35,5,1,5,515,New Customers
1311,24,1,2534.49,5,1,2,512,New Customers
1312,102,1,83.0,3,1,1,311,About to Sleep
1313,95,2,6476.35,3,1,4,314,About to Sleep
1314,16,2,3372.22,5,1,3,513,New Customers
1315,90,4,9635.740000000002,3,2,5,325,About to Sleep
1316,18,3,9228.939999999999,5,2,5,525,Champions
1317,125,2,1814.16,3,1,2,312,About to Sleep
1318,309,1,2470.3,1,1,2,112,Hibernating
1320,307,1,5913.81,1,1,4,114,Hibernating
1321,184,2,7890.05,2,1,4,214,Hibernating
1324,101,1,4639.6,3,1,3,313,About to Sleep
1326,348,1,6758.64,1,1,4,114,Hibernating
1327,3,3,2072.69,5,2,2,522,Champions
1328,130,1,3711.68,3,1,3,313,About to Sleep
1329,203,1,2373.57,2,1,2,212,Hibernating
1331,94,1,4224.15,3,1,3,313,About to Sleep
1333,53,3,8384.11,4,2,5,425,Loyal Customers
1335,75,3,10570.89,4,2,5,425,Loyal Customers
1337,268,2,1627.43,1,1,2,112,Hibernating
1340,32,2,6181.98,5,1,4,514,New Customers
1341,307,1,145.25,1,1,1,111,Hibernating
1342,49,4,18855.89,4,2,5,425,Loyal Customers
1344,324,1,2783.76,1,1,2,112,Hibernating
1347,69,2,4681.1,4,1,3,413,Promising
1348,239,3,7471.87,1,2,4,124,At Risk
1349,358,1,5538.33,1,1,4,114,Hibernating
1350,12,1,5913.81,5,1,4,514,New Customers
1351,206,1,463.96,2,1,1,211,Hibernating
1352,16,4,5584.960000000001,5,2,4,524,Champions
1353,152,3,10339.11,2,2,5,225,At Risk
1354,211,1,2319.8,2,1,2,212,Hibernating
1355,8,2,5657.820000000001,5,1,4,514,New Customers
1356,83,1,8448.3,4,1,5,415,Promising
1357,18,1,145.25,5,1,1,511,New Customers
1358,143,1,741.09,3,1,1,311,About to Sleep
1359,128,3,1659.58,3,2,2,322,About to Sleep
1362,297,1,7603.47,1,1,4,114,Hibernating
1363,164,1,20.75,2,1,1,211,Hibernating
1364,50,2,2638.24,4,1,2,412,Promising
1365,198,1,7911.9,2,1,4,214,Hibernating
1368,110,3,2929.0099999999998,3,2,2,322,About to Sleep
1369,280,1,7120.71,1,1,4,114,Hibernating
1372,50,2,2415.07,4,1,2,412,Promising
1374,124,2,6495.52,3,1,4,314,About to Sleep
1375,1,1,2783.76,5,1,2,512,New Customers
1378,64,2,7286.71,4,1,4,414,Promising
1379,348,1,3711.68,1,1,3,113,Hibernating
1381,258,2,83.0,1,1,1,111,Hibernating
1382,232,1,3247.72,1,1,2,112,Hibernating
1383,59,1,1689.66,4,1,2,412,Promising
1385,179,1,2373.57,2,1,2,212,Hibernating
1387,98,1,741.09,3,1,1,311,About to Sleep
1388,192,1,1235.15,2,1,1,211,Hibernating
1389,16,3,13095.24,5,2,5,525,Champions
1390,268,2,1523.68,1,1,2,112,Hibernating
1393,262,1,145.25,1,1,1,111,Hibernating
1395,137,1,3247.72,3,1,2,312,About to Sleep
1396,296,1,844.83,1,1,1,111,Hibernating
1398,63,1,7911.9,4,1,4,414,Promising
1399,67,3,6398.52,4,2,4,424,Loyal Customers
1400,39,2,3368.12,5,1,3,513,New Customers
1401,167,3,7091.0,2,2,4,224,At Risk
1402,0,2,4800.78,5,1,3,513,New Customers
1403,56,2,6597.719999999999,4,1,4,414,Promising
1404,218,1,247.03,1,1,1,111,Hibernating
1405,70,1,1235.15,4,1,1,411,Promising
1406,68,1,1482.18,4,1,1,411,Promising
1408,45,2,228.25,4,1,1,411,Promising
1409,231,2,4059.7,1,1,3,113,Hibernating
1411,6,2,4101.2,5,1,3,513,New Customers
1416,99,3,13517.279999999999,3,2,5,325,About to Sleep
1419,365,1,124.5,1,1,1,111,Hibernating
1420,279,1,6329.52,1,1,4,114,Hibernating
1421,175,1,1729.21,2,1,2,212,Hibernating
1422,3,4,16687.3,5,2,5,525,Champions
1423,177,2,5602.59,2,1,4,214,Hibernating
1424,315,1,3711.68,1,1,3,113,Hibernating
1425,145,2,4669.700000000001,2,1,3,213,Hibernating
1427,221,1,41.5,1,1,1,111,Hibernating
1428,96,1,3164.76,3,1,2,312,About to Sleep
1429,314,1,1689.66,1,1,2,112,Hibernating
1430,311,1,1482.18,1,1,1,111,Hibernating
1431,258,4,8877.53,1,2,5,125,At Risk
1433,210,1,2783.76,2,1,2,212,Hibernating
1434,181,1,62.25,2,1,1,211,Hibernating
1435,127,1,844.83,3,1,1,311,About to Sleep
1436,215,2,10368.43,2,1,5,215,Hibernating
1442,330,1,741.09,1,1,1,111,Hibernating
1443,85,2,2059.24,4,1,2,412,Promising
1445,132,1,4747.14,3,1,3,313,About to Sleep
1447,100,4,15394.39,3,2,5,325,About to Sleep
1448,320,1,741.09,1,1,1,111,Hibernating
1449,188,1,1582.38,2,1,2,212,Hibernating
1450,169,1,988.12,2,1,1,211,Hibernating
1451,279,2,1719.1100000000001,1,1,2,112,Hibernating
1454,33,2,11779.11,5,1,5,515,New Customers
1455,99,2,8015.65,3,1,4,314,About to Sleep
1456,216,1,791.19,1,1,1,111,Hibernating
1457,77,2,2427.21,4,1,2,412,Promising
1458,53,2,3958.71,4,1,3,413,Promising
1460,83,3,5131.23,4,2,3,423,Loyal Customers
1461,15,2,13879.35,5,1,5,515,New Customers
1462,61,2,4142.7,4,1,3,413,Promising
1463,359,1,741.09,1,1,1,111,Hibernating
1464,91,1,5538.33,3,1,4,314,About to Sleep
1465,184,2,8652.99,2,1,5,215,Hibernating
1466,51,4,9113.150000000001,4,2,5,425,Loyal Customers
1467,149,1,7603.47,2,1,4,214,Hibernating
1469,41,1,1855.84,4,1,2,412,Promising
1470,134,1,3379.32,3,1,3,313,About to Sleep
1473,49,3,1917.91,4,2,2,422,Loyal Customers
1475,102,1,1391.88,3,1,1,311,About to Sleep
1476,32,1,2319.8,5,1,2,512,New Customers
1477,278,1,2470.3,1,1,2,112,Hibernating
1478,115,2,6426.25,3,1,4,314,About to Sleep
1480,4,2,15515.369999999999,5,1,5,515,New Customers
1481,216,2,9683.449999999999,1,1,5,115,Hibernating
1482,233,2,394.25,1,1,1,111,Hibernating
1483,18,4,4535.49,5,2,3,523,Champions
1484,3,1,3711.68,5,1,3,513,New Customers
1486,196,3,10119.16,2,2,5,225,At Risk
1488,108,1,3164.76,3,1,2,312,About to Sleep
1489,52,1,741.09,4,1,1,411,Promising
1490,89,1,6329.52,3,1,4,314,About to Sleep
1492,160,1,2223.27,2,1,2,212,Hibernating
1494,291,2,3227.01,1,1,2,112,Hibernating
1495,9,4,11820.52,5,2,5,525,Champions
1497,125,2,2319.7999999999997,3,1,2,312,About to Sleep
1499,122,4,17462.68,3,2,5,325,About to Sleep
1501,32,1,247.03,5,1,1,511,New Customers
1502,81,2,3368.12,4,1,3,413,Promising
1504,18,1,3247.72,5,1,2,512,New Customers
1507,65,1,463.96,4,1,1,411,Promising
1509,60,1,741.09,4,1,1,411,Promising
1511,47,2,4639.599999999999,4,1,3,413,Promising
1512,149,4,6573.080000000001,2,2,4,224,At Risk
1514,40,2,1749.96,5,1,2,512,New Customers
1515,336,1,791.19,1,1,1,111,Hibernating
1516,112,2,3438.2200000000003,3,1,3,313,About to Sleep
1517,259,1,7911.9,1,1,4,114,Hibernating
1518,126,4,9767.74,3,2,5,325,About to Sleep
1520,106,1,1976.24,3,1,2,312,About to Sleep
1523,146,2,5934.95,2,1,4,214,Hibernating
1524,199,1,2470.3,2,1,2,212,Hibernating
1526,290,1,2319.8,1,1,2,112,Hibernating
1528,114,1,7603.47,3,1,4,314,About to Sleep
1535,76,2,5662.83,4,1,4,414,Promising
1536,211,2,6412.48,2,1,4,214,Hibernating
1537,83,1,741.09,4,1,1,411,Promising
1538,78,2,228.25,4,1,1,411,Promising
1539,88,3,13995.240000000002,3,2,5,325,About to Sleep
1540,224,1,494.06,1,1,1,111,Hibernating
1541,320,1,2319.8,1,1,2,112,Hibernating
1543,171,1,1976.24,2,1,2,212,Hibernating
1545,85,1,3247.72,4,1,2,412,Promising
1546,150,2,7174.35,2,1,4,214,Hibernating
1549,125,1,41.5,3,1,1,311,About to Sleep
1551,110,1,41.5,3,1,1,311,About to Sleep
1553,228,1,20.75,1,1,1,111,Hibernating
1554,138,1,7603.47,3,1,4,314,About to Sleep
1555,100,1,463.96,3,1,1,311,About to Sleep
1556,357,1,741.09,1,1,1,111,Hibernating
1558,121,1,3711.68,3,1,3,313,About to Sleep
1559,11,4,5331.81,5,2,3,523,Champions
1561,97,2,1391.8799999999999,3,1,1,311,About to Sleep
1562,102,1,4224.15,3,1,3,313,About to Sleep
1566,180,3,11740.310000000001,2,2,5,225,At Risk
1568,102,3,6204.4,3,2,4,324,About to Sleep
1570,309,1,3247.72,1,1,2,112,Hibernating
1571,261,3,3667.8500000000004,1,2,3,123,At Risk
1574,13,2,8780.66,5,1,5,515,New Customers
1576,216,1,1976.24,1,1,2,112,Hibernating
1577,56,2,2700.49,4,1,2,412,Promising
1578,68,3,19203.12,4,2,5,425,Loyal Customers
1579,228,1,988.12,1,1,1,111,Hibernating
1581,249,1,4224.15,1,1,3,113,Hibernating
1584,97,1,5538.33,3,1,4,314,About to Sleep
1585,63,3,12583.55,4,2,5,425,Loyal Customers
1586,118,1,124.5,3,1,1,311,About to Sleep
1587,54,4,11502.470000000001,4,2,5,425,Loyal Customers
1589,107,2,3753.18,3,1,3,313,About to Sleep
1590,70,2,8614.3,4,1,5,415,Promising
1591,223,2,927.84,1,1,1,111,Hibernating
1592,169,2,6959.400000000001,2,1,4,214,Hibernating
1593,337,1,2534.49,1,1,2,112,Hibernating
1595,43,1,2223.27,4,1,2,412,Promising
1597,137,2,7148.960000000001,3,1,4,314,About to Sleep
1599,311,1,2534.49,1,1,2,112,Hibernating
1601,5,2,5806.53,5,1,4,514,New Customers
1602,12,1,2223.27,5,1,2,512,New Customers
1603,122,1,741.09,3,1,1,311,About to Sleep
1605,154,1,5068.98,2,1,3,213,Hibernating
1606,24,2,7471.869999999999,5,1,4,514,New Customers
1610,97,1,247.03,3,1,1,311,About to Sleep
1611,102,2,650.71,3,1,1,311,About to Sleep
1613,321,1,1235.15,1,1,1,111,Hibernating
1616,13,5,12635.25,5,2,5,525,Champions
1617,148,1,83.0,2,1,1,211,Hibernating
1618,238,2,9113.28,1,1,5,115,Hibernating
1619,245,1,2373.57,1,1,2,112,Hibernating
1621,128,2,166.0,3,1,1,311,About to Sleep
1622,309,2,12404.25,1,1,5,115,Hibernating
1624,290,1,4747.14,1,1,3,113,Hibernating
1626,294,1,5068.98,1,1,3,113,Hibernating
1628,47,1,20.75,4,1,1,411,Promising
1630,119,1,463.96,3,1,1,311,About to Sleep
1631,58,1,5913.81,4,1,4,414,Promising
1632,39,2,290.5,5,1,1,511,New Customers
1633,58,2,4279.39,4,1,3,413,Promising
1634,184,1,247.03,2,1,1,211,Hibernating
1635,197,2,1636.02,2,1,2,212,Hibernating
1636,39,2,311.25,5,1,1,511,New Customers
1637,123,2,1669.01,3,1,2,312,About to Sleep
1638,55,1,5913.81,4,1,4,414,Promising
1639,267,1,166.0,1,1,1,111,Hibernating
1640,46,1,8448.3,4,1,5,415,Promising
1641,197,1,20.75,2,1,1,211,Hibernating
1642,196,1,1582.38,2,1,2,212,Hibernating
1643,170,1,927.92,2,1,1,211,Hibernating
1644,104,5,8159.78,3,2,4,324,About to Sleep
1645,299,1,20.75,1,1,1,111,Hibernating
1647,339,1,5538.33,1,1,4,114,Hibernating
1649,104,1,3379.32,3,1,3,313,About to Sleep
1650,69,1,41.5,4,1,1,411,Promising
1651,243,1,494.06,1,1,1,111,Hibernating
1652,164,1,62.25,2,1,1,211,Hibernating
1654,51,1,7603.47,4,1,4,414,Promising
1656,73,1,247.03,4,1,1,411,Promising
1657,124,4,9733.550000000001,3,2,5,325,About to Sleep
1658,256,1,5068.98,1,1,3,113,Hibernating
1660,302,1,4747.14,1,1,3,113,Hibernating
1661,217,3,784.56,1,2,1,121,At Risk
1662,121,2,1606.68,3,1,2,312,About to Sleep
1663,191,1,844.83,2,1,1,211,Hibernating
1664,159,3,4913.969999999999,2,2,3,223,At Risk
1667,69,2,6758.639999999999,4,1,4,414,Promising
1668,308,1,1729.21,1,1,2,112,Hibernating
1669,52,2,7665.72,4,1,4,414,Promising
1670,138,1,20.75,3,1,1,311,About to Sleep
1671,73,3,11138.91,4,2,5,425,Loyal Customers
1672,123,3,6059.15,3,2,4,324,About to Sleep
1673,1,4,6577.07,5,2,4,524,Champions
1674,142,3,8098.650000000001,3,2,4,324,About to Sleep
1676,209,1,145.25,2,1,1,211,Hibernating
1677,25,2,7442.549999999999,5,1,4,514,New Customers
1678,73,2,7974.15,4,1,4,414,Promising
1681,182,1,1582.38,2,1,2,212,Hibernating
1682,140,1,3379.32,3,1,3,313,About to Sleep
1683,41,3,752.49,4,2,1,421,Loyal Customers
1684,112,2,1876.59,3,1,2,312,About to Sleep
1686,86,1,1582.38,4,1,2,412,Promising
1688,85,1,1689.66,4,1,2,412,Promising
1689,18,1,7911.9,5,1,4,514,New Customers
1690,202,2,1789.88,2,1,2,212,Hibernating
1691,73,3,7109.42,4,2,4,424,Loyal Customers
1693,96,2,1421.98,3,1,1,311,About to Sleep
1694,159,1,2783.76,2,1,2,212,Hibernating
1695,5,2,7307.46,5,1,4,514,New Customers
1696,35,2,2867.63,5,1,2,512,New Customers
1697,323,2,2410.1,1,1,2,112,Hibernating
1698,2,1,247.03,5,1,1,511,New Customers
1699,281,3,7721.14,1,2,4,124,At Risk
1700,84,1,1689.66,4,1,2,412,Promising
1701,304,1,6329.52,1,1,4,114,Hibernating
1702,74,2,2183.74,4,1,2,412,Promising
1703,271,1,1976.24,1,1,2,112,Hibernating
1704,81,1,62.25,4,1,1,411,Promising
1705,298,1,988.12,1,1,1,111,Hibernating
1706,184,2,6758.64,2,1,4,214,Hibernating
1709,39,1,927.92,5,1,1,511,New Customers
1710,301,1,4747.14,1,1,3,113,Hibernating
1711,54,3,7307.46,4,2,4,424,Loyal Customers
1712,167,1,1482.18,2,1,1,211,Hibernating
1713,58,2,8614.3,4,1,5,415,Promising
1714,105,1,494.06,3,1,1,311,About to Sleep
1715,232,1,5068.98,1,1,3,113,Hibernating
1718,169,3,4738.96,2,2,3,223,At Risk
1719,150,1,83.0,2,1,1,211,Hibernating
1720,98,1,7120.71,3,1,4,314,About to Sleep
1721,82,2,5602.59,4,1,4,414,Promising
1723,330,1,2534.49,1,1,2,112,Hibernating
1724,65,1,1689.66,4,1,2,412,Promising
1725,172,2,4296.04,2,1,3,213,Hibernating
1726,331,2,8981.91,1,1,5,115,Hibernating
1727,13,2,7761.6,5,1,4,514,New Customers
1728,27,2,5602.59,5,1,4,514,New Customers
1729,258,1,4224.15,1,1,3,113,Hibernating
1731,59,2,639.31,4,1,1,411,Promising
1732,102,1,5068.98,3,1,3,313,About to Sleep
1734,123,2,3832.08,3,1,3,313,About to Sleep
1735,194,2,4102.780000000001,2,1,3,213,Hibernating
1736,348,1,2783.76,1,1,2,112,Hibernating
1738,251,2,824.09,1,1,1,111,Hibernating
1739,68,3,12980.88,4,2,5,425,Loyal Customers
1742,13,1,3379.32,5,1,3,513,New Customers
1744,70,3,1689.76,4,2,2,422,Loyal Customers
1745,309,3,6162.99,1,2,4,124,At Risk
1746,181,1,7911.9,2,1,4,214,Hibernating
1748,123,2,4063.2300000000005,3,1,3,313,About to Sleep
1749,137,1,4224.15,3,1,3,313,About to Sleep
1751,132,1,186.75,3,1,1,311,About to Sleep
1752,238,1,988.12,1,1,1,111,Hibernating
1753,356,1,7120.71,1,1,4,114,Hibernating
1754,233,1,4747.14,1,1,3,113,Hibernating
1755,194,1,3711.68,2,1,3,213,Hibernating
1756,79,1,20.75,4,1,1,411,Promising
1758,234,1,3247.72,1,1,2,112,Hibernating
1759,51,2,3247.76,4,1,3,413,Promising
1760,215,2,2781.52,2,1,2,212,Hibernating
1761,170,1,2470.3,2,1,2,212,Hibernating
1766,65,2,11291.22,4,1,5,415,Promising
1768,271,1,145.25,1,1,1,111,Hibernating
1769,315,1,8448.3,1,1,5,115,Hibernating
1770,175,2,9239.49,2,1,5,215,Hibernating
1771,62,4,3984.63,4,2,3,423,Loyal Customers
1772,129,1,4639.6,3,1,3,313,About to Sleep
1773,66,2,588.46,4,1,1,411,Promising
1774,96,2,12659.04,3,1,5,315,About to Sleep
1775,32,1,247.03,5,1,1,511,New Customers
1776,138,3,9054.29,3,2,5,325,About to Sleep
1778,145,1,2534.49,2,1,2,212,Hibernating
1779,136,2,3997.45,3,1,3,313,About to Sleep
1781,351,1,247.03,1,1,1,111,Hibernating
1783,54,2,7721.400000000001,4,1,4,414,Promising
1784,213,2,7603.469999999999,2,1,4,214,Hibernating
1785,272,1,7603.47,1,1,4,114,Hibernating
1787,69,1,20.75,4,1,1,411,Promising
1788,279,2,1832.96,1,1,2,112,Hibernating
1789,18,1,988.12,5,1,1,511,New Customers
1790,208,1,2783.76,2,1,2,212,Hibernating
